                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1108,                 0.6806,                0.88084,                0.55328,                0.43713,                 0.4556,                0.28025,                 1.1302,                0.77629,                0.88309,               0.008317,               0.008317,               0.008317
                     36,                 1.1079,                0.67435,                 0.8787,                0.55508,                0.44648,                0.45654,                0.28082,                 1.1272,                0.77484,                0.88202,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.0984,                0.66739,                 0.8775,                0.56853,                0.44349,                0.46224,                0.28372,                 1.1278,                0.77661,                0.88164,               0.008218,               0.008218,               0.008218
                     38,                 1.0958,                0.66376,                0.88001,                0.55573,                0.43925,                0.45604,                0.28049,                 1.1282,                 0.7797,                0.88345,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.092,                0.66316,                 0.8779,                0.57339,                0.43344,                0.45789,                0.28355,                  1.121,                0.77632,                0.88267,               0.008119,               0.008119,               0.008119
                     40,                 1.0972,                0.66173,                0.87864,                 0.5711,                0.44136,                0.45969,                0.28416,                 1.1249,                0.77899,                0.88358,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.0871,                0.65276,                0.87665,                0.56595,                0.44269,                0.46074,                0.28361,                 1.1255,                0.77789,                0.88193,                0.00802,                0.00802,                0.00802
                     42,                 1.0884,                0.64974,                0.87674,                0.57242,                0.43495,                0.46204,                 0.2849,                 1.1268,                0.77614,                0.88509,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.0897,                0.65001,                0.87448,                0.57002,                0.44376,                0.46166,                0.28525,                 1.1239,                0.78015,                0.88295,               0.007921,               0.007921,               0.007921
                     44,                 1.0848,                0.64292,                0.87604,                0.57906,                0.44487,                0.46727,                0.28843,                 1.1241,                0.77633,                 0.8848,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0771,                0.63564,                0.87339,                0.55818,                0.44735,                 0.4631,                 0.2858,                 1.1209,                 0.7801,                0.88218,               0.007822,               0.007822,               0.007822
                     46,                  1.077,                 0.6345,                0.87412,                0.57691,                0.44068,                0.46417,                 0.2858,                 1.1263,                0.78125,                0.88328,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.0677,                0.62922,                0.87336,                0.57573,                0.43748,                0.46384,                0.28611,                 1.1192,                0.77763,                0.88192,               0.007723,               0.007723,               0.007723
                     48,                 1.0625,                0.62408,                0.87069,                0.57087,                0.44451,                0.46431,                 0.2864,                 1.1215,                0.78203,                0.88374,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0652,                0.62355,                0.87044,                0.57732,                0.44309,                0.46507,                0.28656,                 1.1239,                0.77843,                 0.8828,               0.007624,               0.007624,               0.007624
                     50,                 1.0615,                0.61915,                0.86887,                0.57072,                0.44487,                0.46531,                0.28714,                 1.1208,                 0.7797,                0.88234,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0577,                0.61482,                0.86984,                0.56913,                 0.4513,                0.46772,                0.28865,                 1.1227,                0.77899,                0.88243,               0.007525,               0.007525,               0.007525
                     52,                 1.0607,                0.61578,                0.86914,                0.57781,                0.44505,                0.46902,                0.28935,                 1.1155,                0.78108,                0.88026,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0544,                 0.6066,                0.86815,                0.56461,                0.44913,                0.46706,                0.28878,                 1.1142,                0.77523,                0.87971,               0.007426,               0.007426,               0.007426
                     54,                 1.0481,                0.60672,                0.86709,                0.57182,                0.45017,                0.47032,                0.28987,                 1.1146,                0.77309,                0.88017,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0436,                0.59819,                0.86722,                0.56961,                0.45395,                0.47086,                0.29163,                   1.11,                0.77649,                0.87886,               0.007327,               0.007327,               0.007327
                     56,                 1.0463,                0.59973,                 0.8674,                0.56893,                0.44879,                0.46763,                 0.2895,                 1.1182,                0.77625,                0.88052,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.0417,                0.59794,                0.86682,                0.56955,                0.45395,                0.46856,                0.29134,                 1.1113,                0.77805,                0.88066,               0.007228,               0.007228,               0.007228
                     58,                 1.0414,                0.59455,                 0.8644,                0.58631,                0.44124,                0.46807,                0.28908,                 1.1219,                0.77739,                 0.8817,              0.0071785,              0.0071785,              0.0071785
                     59,                   1.04,                0.59106,                0.86616,                0.57562,                0.44786,                0.46914,                0.29073,                 1.1141,                0.77958,                0.87906,               0.007129,               0.007129,               0.007129
                     60,                 1.0313,                0.58436,                0.86472,                0.58049,                0.44707,                0.47055,                0.29158,                 1.1168,                0.77829,                0.87916,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0309,                0.58429,                  0.863,                0.56306,                0.45263,                0.46774,                0.29083,                 1.1123,                0.77517,                0.87935,                0.00703,                0.00703,                0.00703
                     62,                 1.0316,                  0.583,                 0.8634,                0.56778,                0.44615,                 0.4659,                0.28862,                 1.1137,                0.77635,                0.88051,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0275,                0.57943,                0.86244,                0.57702,                0.45003,                0.47179,                0.29206,                   1.11,                0.77437,                0.87972,               0.006931,               0.006931,               0.006931
                     64,                 1.0263,                0.57734,                0.86214,                0.59137,                0.44378,                0.47265,                0.29203,                 1.1147,                0.77328,                0.88171,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0232,                0.57584,                0.86199,                0.58608,                0.44587,                0.47082,                0.29111,                 1.1129,                0.77793,                0.88089,               0.006832,               0.006832,               0.006832
                     66,                 1.0164,                0.56785,                0.85995,                0.57774,                0.45325,                0.47051,                0.29106,                 1.1152,                0.77652,                0.88305,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0208,                0.57026,                0.85962,                0.58077,                0.45027,                0.46897,                0.29074,                 1.1157,                0.77888,                0.88209,               0.006733,               0.006733,               0.006733
                     68,                 1.0148,                0.56691,                0.86083,                0.59346,                0.44045,                0.47041,                0.29155,                 1.1122,                0.78296,                0.88044,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0148,                0.56421,                0.85814,                0.59673,                0.44289,                0.47302,                0.29376,                 1.1105,                0.77805,                0.88023,               0.006634,               0.006634,               0.006634
                     70,                 1.0125,                0.56216,                0.85847,                0.58428,                0.45013,                0.47104,                0.29157,                 1.1112,                0.77641,                0.88092,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.0126,                0.56181,                0.85694,                0.59531,                0.44673,                0.47467,                0.29361,                 1.1139,                0.77219,                0.88025,               0.006535,               0.006535,               0.006535
                     72,                 1.0002,                0.55176,                0.85758,                 0.5824,                0.45209,                0.47235,                 0.2921,                 1.1146,                0.77635,                0.88063,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0022,                0.55427,                0.85685,                0.57209,                 0.4557,                0.47124,                0.29248,                 1.1109,                0.77311,                0.88042,               0.006436,               0.006436,               0.006436
                     74,                 0.9972,                 0.5505,                0.85617,                0.57289,                0.45419,                0.47493,                0.29472,                  1.108,                0.77091,                 0.8789,              0.0063865,              0.0063865,              0.0063865
                     75,                0.99269,                0.54457,                0.85676,                0.57776,                 0.4492,                0.47255,                0.29264,                 1.1123,                0.77381,                0.88062,               0.006337,               0.006337,               0.006337
                     76,                0.99797,                0.54605,                 0.8553,                0.58144,                0.44891,                0.47246,                0.29259,                 1.1134,                0.77853,                 0.8816,              0.0062875,              0.0062875,              0.0062875
                     77,                0.99077,                0.54285,                0.85523,                0.56845,                0.45886,                0.47483,                0.29372,                 1.1146,                 0.7788,                0.88162,               0.006238,               0.006238,               0.006238
                     78,                0.98721,                0.54136,                0.85312,                0.58093,                0.45401,                 0.4745,                0.29423,                 1.1141,                0.77874,                0.88262,              0.0061885,              0.0061885,              0.0061885
                     79,                0.99032,                0.54124,                0.85388,                0.57611,                0.45515,                 0.4699,                  0.293,                  1.114,                0.78544,                0.88222,               0.006139,               0.006139,               0.006139
                     80,                0.98084,                0.53355,                0.85281,                0.57035,                 0.4584,                0.47202,                0.29275,                 1.1154,                 0.7858,                0.88252,              0.0060895,              0.0060895,              0.0060895
                     81,                0.98284,                0.53467,                 0.8535,                0.56916,                0.46213,                 0.4747,                0.29438,                 1.1135,                0.78485,                0.88185,                0.00604,                0.00604,                0.00604
                     82,                0.98022,                0.53157,                0.85334,                0.57057,                0.46345,                0.47368,                0.29492,                 1.1103,                0.78313,                0.88111,              0.0059905,              0.0059905,              0.0059905
                     83,                0.98005,                0.53183,                 0.8502,                0.57533,                0.45568,                0.47455,                0.29401,                 1.1132,                0.78886,                0.88157,               0.005941,               0.005941,               0.005941
                     84,                0.97021,                 0.5249,                0.85061,                0.57962,                0.45778,                 0.4745,                0.29378,                 1.1146,                0.78497,                0.88114,              0.0058915,              0.0058915,              0.0058915
