                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97783,                0.44085,                0.93709,                0.96878,                0.87633,                0.92793,                0.70554,                0.83388,                0.36891,                0.84463,              0.0082675,              0.0082675,              0.0082675
                     37,                0.97014,                0.44133,                0.93533,                0.97044,                0.87562,                0.92788,                0.70552,                0.83324,                0.36898,                0.84464,               0.008218,               0.008218,               0.008218
                     38,                0.97012,                0.43863,                0.93613,                0.97151,                0.87495,                0.92803,                0.70599,                0.83235,                0.36818,                0.84457,              0.0081685,              0.0081685,              0.0081685
                     39,                0.97058,                0.44059,                0.94241,                0.97161,                0.87504,                0.92826,                0.70628,                0.83249,                0.36816,                0.84462,               0.008119,               0.008119,               0.008119
                     40,                0.96438,                0.43764,                 0.9378,                0.97244,                 0.8742,                0.92828,                0.70621,                0.83244,                0.36766,                0.84451,              0.0080695,              0.0080695,              0.0080695
                     41,                0.96858,                0.43788,                0.93428,                0.97367,                0.87357,                0.92838,                0.70622,                0.83239,                0.36763,                0.84453,                0.00802,                0.00802,                0.00802
                     42,                0.96709,                0.43866,                0.93535,                0.97503,                 0.8732,                0.92835,                0.70635,                0.83269,                0.36795,                0.84451,              0.0079705,              0.0079705,              0.0079705
                     43,                0.97006,                0.43827,                0.93768,                0.97588,                0.87241,                0.92865,                0.70671,                0.83285,                0.36751,                0.84441,               0.007921,               0.007921,               0.007921
                     44,                0.96744,                0.43559,                0.93468,                 0.9752,                0.87249,                0.92901,                0.70708,                0.83258,                0.36743,                0.84436,              0.0078715,              0.0078715,              0.0078715
                     45,                0.96469,                0.43578,                0.93744,                0.97492,                0.87293,                0.92908,                0.70752,                0.83234,                0.36721,                0.84429,               0.007822,               0.007822,               0.007822
                     46,                0.95878,                0.43456,                0.93094,                0.97485,                0.87322,                0.92918,                0.70709,                0.83236,                0.36721,                0.84427,              0.0077725,              0.0077725,              0.0077725
                     47,                0.96073,                0.43321,                0.93415,                0.97319,                0.87393,                0.92923,                0.70729,                0.83149,                0.36684,                0.84427,               0.007723,               0.007723,               0.007723
                     48,                0.95637,                0.43198,                0.92926,                0.97487,                0.87224,                0.92955,                0.70748,                0.83105,                0.36703,                0.84418,              0.0076735,              0.0076735,              0.0076735
                     49,                0.95634,                0.43255,                0.93482,                0.97419,                0.87331,                0.92983,                0.70844,                0.83001,                0.36715,                0.84404,               0.007624,               0.007624,               0.007624
                     50,                0.96383,                  0.434,                0.93502,                0.97503,                0.87314,                0.93008,                0.70868,                0.82989,                0.36723,                0.84403,              0.0075745,              0.0075745,              0.0075745
                     51,                0.95103,                0.43227,                0.93259,                0.97405,                0.87357,                0.93037,                0.70956,                0.82988,                0.36739,                0.84381,               0.007525,               0.007525,               0.007525
