                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5075,                0.88409,                0.89335,                0.66482,                0.46303,                0.50241,                0.28088,                 1.6029,                0.84493,                0.94835,               0.008317,               0.008317,               0.008317
                     36,                 1.4877,                0.87478,                0.89232,                0.61018,                0.48757,                0.51829,                0.29132,                 1.5911,                0.79399,                0.94294,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4746,                 0.8642,                0.89067,                0.83556,                0.47037,                0.50818,                0.28606,                 1.6101,                0.81986,                0.94255,               0.008218,               0.008218,               0.008218
                     38,                 1.4758,                0.86758,                0.89192,                0.70771,                0.46688,                 0.4881,                 0.2746,                 1.6215,                0.83877,                0.95898,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4672,                0.85713,                0.88593,                 0.8134,                0.46887,                0.49706,                0.27966,                 1.6153,                0.82913,                0.95345,               0.008119,               0.008119,               0.008119
                     40,                 1.4695,                0.86236,                0.88664,                0.63047,                0.48265,                0.51734,                0.29495,                 1.5782,                0.80271,                0.93941,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4529,                0.85549,                0.88705,                0.81551,                0.47544,                0.50779,                0.29302,                 1.5665,                0.81411,                 0.9461,                0.00802,                0.00802,                0.00802
                     42,                 1.4513,                0.85187,                0.88574,                0.72757,                0.48113,                  0.511,                0.29494,                 1.5589,                0.78306,                0.93864,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.4458,                0.84977,                0.88617,                0.61217,                0.47585,                0.50359,                0.29602,                 1.5419,                0.80545,                0.93832,               0.007921,               0.007921,               0.007921
                     44,                 1.4355,                0.83668,                 0.8869,                0.75129,                0.46569,                0.49335,                0.28467,                 1.5626,                0.82671,                0.94176,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4305,                0.84243,                0.88336,                0.72596,                0.49077,                0.52003,                 0.2949,                   1.55,                0.77092,                 0.9437,               0.007822,               0.007822,               0.007822
                     46,                 1.4162,                0.82591,                 0.8809,                0.74114,                0.48625,                0.52832,                0.30589,                 1.5325,                0.76684,                0.95646,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4258,                0.83792,                0.88188,                0.72531,                0.48384,                0.50125,                0.28782,                 1.5324,                0.79606,                0.93954,               0.007723,               0.007723,               0.007723
                     48,                 1.4128,                 0.8246,                0.88128,                0.77736,                0.48475,                0.52887,                0.30648,                 1.5494,                0.80681,                0.95033,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.425,                0.83725,                0.88281,                0.80152,                0.49106,                0.52927,                0.30835,                 1.5425,                0.77828,                0.94557,               0.007624,               0.007624,               0.007624
                     50,                 1.4135,                0.82619,                0.87891,                0.72426,                0.48531,                0.51852,                0.29871,                 1.5367,                0.78366,                0.95185,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3869,                0.80951,                0.87742,                0.66344,                0.49274,                0.53368,                0.30251,                 1.5625,                0.78175,                0.95027,               0.007525,               0.007525,               0.007525
                     52,                 1.4015,                0.81863,                0.87956,                0.73148,                0.50703,                0.54072,                0.31599,                 1.5054,                0.75876,                0.94657,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3898,                 0.8215,                0.87798,                0.76341,                0.49458,                0.53068,                0.30931,                 1.5195,                0.75437,                0.94771,               0.007426,               0.007426,               0.007426
                     54,                 1.3809,                 0.8173,                 0.8784,                  0.783,                0.48277,                0.53503,                0.31299,                 1.5053,                0.74627,                0.94526,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3861,                0.81137,                0.87445,                0.75076,                0.49615,                0.53028,                0.30913,                 1.5245,                 0.7443,                0.94646,               0.007327,               0.007327,               0.007327
                     56,                  1.388,                0.80887,                0.87976,                0.76821,                0.50063,                0.54089,                0.31817,                  1.504,                0.74535,                0.94106,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3867,                0.81106,                 0.8772,                0.74171,                0.49527,                0.53532,                0.31007,                 1.5052,                0.74975,                0.94338,               0.007228,               0.007228,               0.007228
                     58,                 1.3755,                0.80447,                0.87844,                0.78335,                0.48605,                0.53312,                0.30661,                 1.5009,                0.75711,                0.93989,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3616,                0.78799,                0.86785,                0.81248,                0.49504,                0.54353,                0.31675,                 1.4824,                0.73678,                0.93797,               0.007129,               0.007129,               0.007129
                     60,                 1.3689,                0.79481,                0.87585,                0.82208,                0.49023,                0.54254,                0.31931,                 1.4969,                0.75553,                 0.9407,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3454,                0.78133,                0.87131,                0.80381,                0.49951,                0.54578,                0.31934,                 1.4833,                0.73936,                0.94016,                0.00703,                0.00703,                0.00703
                     62,                 1.3446,                0.78724,                0.87803,                0.82134,                0.49595,                0.54693,                0.31975,                 1.4869,                0.73858,                0.94442,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3479,                0.77522,                0.86923,                0.80504,                0.50024,                0.54645,                0.31948,                 1.4877,                0.73084,                0.94088,               0.006931,               0.006931,               0.006931
                     64,                 1.3439,                0.77921,                0.87202,                0.82161,                0.51182,                0.55763,                0.32691,                 1.4804,                 0.7231,                0.93954,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3318,                0.77838,                0.86679,                0.79349,                0.50344,                0.55117,                0.32323,                 1.4841,                0.72819,                0.93819,               0.006832,               0.006832,               0.006832
                     66,                 1.3389,                0.78272,                0.86979,                0.77958,                0.51171,                0.54861,                 0.3236,                 1.4814,                0.73961,                0.93728,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.342,                0.77777,                0.86997,                0.77846,                0.51105,                0.55285,                0.32613,                 1.4816,                0.73357,                0.93552,               0.006733,               0.006733,               0.006733
                     68,                 1.3342,                0.77654,                0.86978,                0.79055,                0.50894,                0.55388,                0.32459,                 1.4748,                0.73668,                0.93722,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3191,                0.76791,                0.86546,                0.80203,                0.50781,                0.55372,                0.32546,                 1.4722,                0.73966,                0.93886,               0.006634,               0.006634,               0.006634
                     70,                 1.3137,                0.77166,                0.86754,                0.81786,                 0.5072,                0.54889,                0.32376,                 1.4718,                0.72957,                0.94083,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3183,                0.77284,                0.86954,                 0.8225,                0.52198,                0.55607,                0.32834,                 1.4607,                0.71432,                0.93838,               0.006535,               0.006535,               0.006535
                     72,                 1.3043,                0.75975,                 0.8641,                0.80805,                0.50966,                0.55126,                0.32712,                 1.4528,                0.71959,                0.94095,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3124,                0.76341,                0.86822,                0.83276,                0.50688,                0.55183,                 0.3252,                  1.455,                0.71698,                0.94235,               0.006436,               0.006436,               0.006436
                     74,                 1.3078,                0.75434,                0.86267,                0.83819,                0.50552,                0.55198,                0.32553,                 1.4643,                0.72218,                0.94173,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.2985,                0.76197,                0.86354,                0.85954,                0.50118,                 0.5491,                  0.323,                 1.4723,                0.72543,                0.94247,               0.006337,               0.006337,               0.006337
                     76,                 1.3007,                0.75634,                0.86535,                0.84415,                0.50459,                 0.5446,                0.32327,                 1.4807,                0.73102,                0.94145,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.2959,                0.75808,                0.86546,                0.84328,                0.50353,                 0.5457,                 0.3224,                 1.4779,                0.72621,                0.94463,               0.006238,               0.006238,               0.006238
                     78,                 1.2956,                0.75345,                0.86524,                0.84989,                0.49779,                0.54342,                0.32003,                 1.4718,                0.71972,                0.94285,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2831,                0.74585,                0.86243,                 0.8293,                 0.5046,                0.55056,                0.32534,                 1.4681,                0.72528,                0.93938,               0.006139,               0.006139,               0.006139
                     80,                 1.2757,                0.74188,                0.86152,                0.79506,                0.51269,                0.54931,                 0.3254,                 1.4682,                0.73076,                 0.9398,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.2802,                0.74787,                0.86199,                0.83224,                0.51263,                0.55597,                0.32939,                 1.4705,                0.73082,                0.94112,                0.00604,                0.00604,                0.00604
                     82,                 1.2708,                 0.7413,                0.86394,                0.81683,                0.51578,                0.55365,                0.32601,                 1.4649,                0.71645,                0.94229,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2753,                0.74492,                0.85996,                0.82639,                0.51039,                0.55053,                0.32499,                 1.4621,                0.71431,                0.94435,               0.005941,               0.005941,               0.005941
                     84,                 1.2761,                 0.7457,                0.86186,                0.80848,                 0.5085,                0.54636,                0.32386,                 1.4619,                0.72513,                0.94362,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2566,                0.73162,                0.85958,                0.80378,                0.50206,                0.54219,                0.32136,                 1.4607,                0.73174,                0.94527,               0.005842,               0.005842,               0.005842
                     86,                 1.2597,                 0.7317,                 0.8577,                0.81749,                0.50475,                0.54701,                0.32502,                 1.4562,                0.73097,                 0.9457,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2598,                0.73102,                0.85981,                0.83261,                0.50999,                0.55031,                0.32729,                 1.4508,                0.72726,                0.94279,               0.005743,               0.005743,               0.005743
                     88,                 1.2521,                0.71798,                0.85618,                 0.8252,                0.51201,                0.55348,                0.32923,                 1.4499,                0.72136,                 0.9441,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2421,                0.72007,                0.86008,                0.81106,                0.51877,                0.55547,                0.33225,                 1.4462,                0.71324,                0.94269,               0.005644,               0.005644,               0.005644
                     90,                 1.2422,                0.71373,                0.85489,                0.81955,                0.51934,                0.55646,                0.33238,                 1.4446,                0.71494,                0.94208,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2367,                0.71734,                0.85967,                 0.8089,                0.51777,                0.55632,                0.33085,                 1.4449,                0.71461,                0.94144,               0.005545,               0.005545,               0.005545
                     92,                 1.2476,                0.72035,                0.85438,                 0.8156,                0.51677,                0.55716,                0.33043,                 1.4498,                0.71282,                0.94327,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2428,                0.71776,                0.85927,                0.81691,                0.51617,                 0.5568,                 0.3304,                 1.4496,                 0.7121,                0.94313,               0.005446,               0.005446,               0.005446
                     94,                 1.2446,                0.71941,                0.85756,                0.81233,                0.51504,                0.55603,                 0.3309,                 1.4481,                0.71454,                 0.9415,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.2374,                0.72052,                0.85659,                 0.8107,                 0.5148,                0.55566,                0.33091,                 1.4479,                0.71373,                0.94153,               0.005347,               0.005347,               0.005347
                     96,                 1.2297,                 0.7135,                0.85674,                0.81446,                0.51505,                 0.5578,                0.33208,                 1.4446,                0.71011,                0.94027,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2228,                0.70572,                0.85326,                0.81179,                 0.5141,                0.55981,                 0.3328,                 1.4448,                0.70673,                0.93982,               0.005248,               0.005248,               0.005248
                     98,                  1.213,                0.69759,                0.85456,                0.80834,                0.51424,                0.55967,                 0.3336,                 1.4423,                0.70543,                0.93912,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.2273,                0.71451,                0.85108,                0.80662,                0.51307,                0.56048,                0.33412,                  1.442,                0.70554,                0.93881,               0.005149,               0.005149,               0.005149
                    100,                 1.2211,                0.70605,                0.85091,                 0.8043,                0.51399,                0.55836,                0.33477,                 1.4405,                0.70655,                0.93836,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.2101,                0.69817,                  0.853,                0.80954,                0.51281,                0.55725,                0.33425,                 1.4401,                0.70642,                0.93763,                0.00505,                0.00505,                0.00505
                    102,                 1.2051,                0.69913,                0.85079,                0.81455,                0.51152,                0.55456,                0.33171,                 1.4411,                0.70966,                 0.9388,              0.0050005,              0.0050005,              0.0050005
